Temps(s)	sigV(MPa)	Defcapt	Defax	Defrad	Defvol	Deplctcapt(m)
9.526331E+2	1.107325E+1	4.529561E-3	4.261673E-3	8.923708E-4	6.046414E-3	1.808201E+2
9.538440E+2	1.087521E+1	4.516068E-3	4.249034E-3	8.929890E-4	6.035012E-3	1.802814E+2
9.550559E+2	1.074201E+1	4.505203E-3	4.237494E-3	8.940194E-4	6.025533E-3	1.798477E+2
9.562679E+2	1.056489E+1	4.492750E-3	4.225129E-3	8.940881E-4	6.013305E-3	1.793506E+2
9.574788E+2	1.039536E+1	4.479771E-3	4.212147E-3	8.937446E-4	5.999636E-3	1.788325E+2
9.586897E+2	1.025084E+1	4.468454E-3	4.201019E-3	8.949124E-4	5.990844E-3	1.783807E+2
9.599007E+2	1.009002E+1	4.456231E-3	4.188723E-3	8.951871E-4	5.979098E-3	1.778928E+2
9.611116E+2	9.934848E+0	4.444282E-3	4.176152E-3	8.952558E-4	5.966664E-3	1.774157E+2
9.623225E+2	9.770056E+0	4.431282E-3	4.163651E-3	8.958740E-4	5.955399E-3	1.768968E+2
9.635354E+2	9.612042E+0	4.419467E-3	4.149912E-3	8.953931E-4	5.940699E-3	1.764251E+2
9.647454E+2	9.476582E+0	4.407792E-3	4.138990E-3	8.958053E-4	5.930601E-3	1.759591E+2
9.659554E+2	9.316796E+0	4.395143E-3	4.125321E-3	8.963549E-4	5.918031E-3	1.754541E+2
9.671653E+2	9.150073E+0	4.381973E-3	4.112132E-3	8.962862E-4	5.904705E-3	1.749283E+2
9.683772E+2	9.026297E+0	4.371264E-3	4.101142E-3	8.966983E-4	5.894538E-3	1.745009E+2
9.695882E+2	8.875654E+0	4.359391E-3	4.088434E-3	8.961487E-4	5.880731E-3	1.740269E+2
9.708001E+2	8.738385E+0	4.348020E-3	4.076343E-3	8.962861E-4	5.868916E-3	1.735730E+2
9.720110E+2	8.585658E+0	4.335711E-3	4.063292E-3	8.967670E-4	5.856826E-3	1.730816E+2
9.732220E+2	8.429850E+0	4.322771E-3	4.050241E-3	8.972478E-4	5.844737E-3	1.725650E+2
9.744339E+2	8.313693E+0	4.311837E-3	4.039044E-3	8.971791E-4	5.833403E-3	1.721285E+2
9.756448E+2	8.159390E+0	4.298556E-3	4.025100E-3	8.963548E-4	5.817810E-3	1.715984E+2
9.768557E+2	8.019061E+0	4.286313E-3	4.011637E-3	8.969043E-4	5.805446E-3	1.711096E+2
9.780667E+2	7.889312E+0	4.274212E-3	3.999685E-3	8.971104E-4	5.793906E-3	1.706266E+2
9.792776E+2	7.744742E+0	4.261209E-3	3.986565E-3	8.975226E-4	5.781610E-3	1.701074E+2
9.804895E+2	7.626740E+0	4.250272E-3	3.974200E-3	8.971104E-4	5.768421E-3	1.696708E+2
9.817024E+2	7.486834E+0	4.237628E-3	3.961424E-3	8.970417E-4	5.755507E-3	1.691661E+2
9.829134E+2	7.340511E+0	4.224338E-3	3.946930E-3	8.971103E-4	5.741150E-3	1.686356E+2
9.841243E+2	7.231543E+0	4.212931E-3	3.935527E-3	8.967670E-4	5.729061E-3	1.681802E+2
9.853352E+2	7.098925E+0	4.200305E-3	3.922613E-3	8.968356E-4	5.716284E-3	1.676762E+2
9.865471E+2	6.982859E+0	4.188570E-3	3.910317E-3	8.962174E-4	5.702752E-3	1.672077E+2
9.877581E+2	6.864618E+0	4.176452E-3	3.897953E-3	8.969730E-4	5.691899E-3	1.667240E+2
9.889700E+2	6.739704E+0	4.164677E-3	3.885383E-3	8.961487E-4	5.677680E-3	1.662539E+2
9.901819E+2	6.634192E+0	4.153310E-3	3.872675E-3	8.962174E-4	5.665110E-3	1.658001E+2
9.913929E+2	6.506720E+0	4.140963E-3	3.859967E-3	8.954618E-4	5.650891E-3	1.653072E+2
9.926038E+2	6.373388E+0	4.128283E-3	3.846366E-3	8.954618E-4	5.637290E-3	1.648011E+2
9.938157E+2	6.275170E+0	4.117442E-3	3.834071E-3	8.948436E-4	5.623758E-3	1.643683E+2
9.950276E+2	6.151259E+0	4.104998E-3	3.820057E-3	8.953931E-4	5.610843E-3	1.638715E+2
9.962386E+2	6.050984E+0	4.093658E-3	3.807968E-3	8.942253E-4	5.596418E-3	1.634188E+2
9.974514E+2	5.936629E+0	4.081880E-3	3.795878E-3	8.939506E-4	5.583779E-3	1.629486E+2
9.986624E+2	5.824628E+0	4.070133E-3	3.782139E-3	8.941566E-4	5.570453E-3	1.624797E+2
9.998733E+2	5.735055E+0	4.060641E-3	3.771630E-3	8.941566E-4	5.559943E-3	1.621008E+2
1.001084E+3	5.634152E+0	4.050070E-3	3.759197E-3	8.935385E-4	5.546274E-3	1.616788E+2
1.002296E+3	5.549307E+0	4.040508E-3	3.748550E-3	8.940193E-4	5.536589E-3	1.612971E+2
1.003507E+3	5.459309E+0	4.031953E-3	3.737560E-3	8.929202E-4	5.523400E-3	1.609556E+2
1.004719E+3	5.396220E+0	4.026225E-3	3.729385E-3	8.925768E-4	5.514539E-3	1.607269E+2
1.005930E+3	5.331645E+0	4.021965E-3	3.720867E-3	8.924394E-4	5.505746E-3	1.605569E+2
1.007141E+3	5.246036E+0	4.016485E-3	3.710838E-3	8.917524E-4	5.494343E-3	1.603381E+2
1.008353E+3	5.151635E+0	4.010201E-3	3.699916E-3	8.914089E-4	5.482734E-3	1.600872E+2
1.009565E+3	5.049176E+0	4.003759E-3	3.687689E-3	8.907908E-4	5.469271E-3	1.598300E+2
1.010776E+3	4.907045E+0	3.993758E-3	3.672097E-3	8.903787E-4	5.452854E-3	1.594308E+2
1.011987E+3	4.737913E+0	3.979428E-3	3.651833E-3	8.894170E-4	5.430667E-3	1.588588E+2
1.013199E+3	4.552786E+0	3.959873E-3	3.627035E-3	8.885240E-4	5.404083E-3	1.580781E+2
1.014410E+3	4.370571E+0	3.937429E-3	3.600521E-3	8.864632E-4	5.373447E-3	1.571822E+2
1.015621E+3	4.199524E+0	3.916169E-3	3.574280E-3	8.853641E-4	5.345009E-3	1.563335E+2
1.016832E+3	4.041785E+0	3.894554E-3	3.549688E-3	8.836468E-4	5.316982E-3	1.554706E+2
1.018043E+3	3.928110E+0	3.877631E-3	3.529768E-3	8.830974E-4	5.295963E-3	1.547950E+2
1.019255E+3	3.811748E+0	3.860723E-3	3.510122E-3	8.822043E-4	5.274531E-3	1.541201E+2
1.020466E+3	3.720725E+0	3.846140E-3	3.494392E-3	8.808993E-4	5.256191E-3	1.535379E+2
1.021677E+3	3.613524E+0	3.830584E-3	3.476464E-3	8.809679E-4	5.238400E-3	1.529169E+2
1.022889E+3	3.523293E+0	3.817111E-3	3.460459E-3	8.797315E-4	5.219922E-3	1.523791E+2
1.024100E+3	3.447318E+0	3.804506E-3	3.446309E-3	8.788385E-4	5.203986E-3	1.518759E+2
1.025311E+3	3.358486E+0	3.790876E-3	3.431128E-3	8.778768E-4	5.186881E-3	1.513318E+2
1.026523E+3	3.262325E+0	3.776578E-3	3.414298E-3	8.765717E-4	5.167442E-3	1.507610E+2
1.027734E+3	3.216532E+0	3.766982E-3	3.403239E-3	8.764343E-4	5.156108E-3	1.503779E+2
1.028946E+3	3.119211E+0	3.752823E-3	3.387372E-3	8.747857E-4	5.136943E-3	1.498127E+2
1.030157E+3	3.036975E+0	3.739830E-3	3.371779E-3	8.736180E-4	5.119015E-3	1.492940E+2
1.031368E+3	2.981193E+0	3.728876E-3	3.359346E-3	8.729998E-4	5.105346E-3	1.488567E+2
1.032580E+3	2.902802E+0	3.715977E-3	3.345265E-3	8.721068E-4	5.089478E-3	1.483418E+2
1.033792E+3	2.827548E+0	3.703086E-3	3.330221E-3	8.710077E-4	5.072237E-3	1.478272E+2
1.035004E+3	2.748993E+0	3.689804E-3	3.315109E-3	8.697713E-4	5.054652E-3	1.472970E+2
1.036215E+3	2.697531E+0	3.679413E-3	3.302882E-3	8.690157E-4	5.040913E-3	1.468821E+2
1.037427E+3	2.616269E+0	3.665184E-3	3.287701E-3	8.682600E-4	5.024221E-3	1.463141E+2
1.038638E+3	2.549730E+0	3.652574E-3	3.273001E-3	8.662680E-4	5.005537E-3	1.458107E+2
1.039849E+3	2.491899E+0	3.640836E-3	3.259331E-3	8.653064E-4	4.989944E-3	1.453422E+2
1.041061E+3	2.424929E+0	3.628346E-3	3.245868E-3	8.646194E-4	4.975107E-3	1.448436E+2
1.042272E+3	2.363571E+0	3.616538E-3	3.232198E-3	8.637264E-4	4.959651E-3	1.443722E+2
1.043484E+3	2.288621E+0	3.602341E-3	3.215438E-3	8.622839E-4	4.940005E-3	1.438055E+2
1.044695E+3	2.245739E+0	3.591761E-3	3.203966E-3	8.618030E-4	4.927572E-3	1.433831E+2
1.045906E+3	2.186537E+0	3.580408E-3	3.191259E-3	8.609101E-4	4.913079E-3	1.429299E+2
1.047117E+3	2.115927E+0	3.565994E-3	3.175666E-3	8.596050E-4	4.894876E-3	1.423545E+2
1.048329E+3	2.053035E+0	3.553076E-3	3.160073E-3	8.582998E-4	4.876673E-3	1.418388E+2
1.049539E+3	2.015575E+0	3.542412E-3	3.148670E-3	8.572008E-4	4.863072E-3	1.414131E+2
1.050751E+3	1.949856E+0	3.529909E-3	3.134657E-3	8.560331E-4	4.846723E-3	1.409140E+2
1.051962E+3	1.894569E+0	3.517515E-3	3.120507E-3	8.545906E-4	4.829688E-3	1.404192E+2
1.053173E+3	1.830533E+0	3.503700E-3	3.105120E-3	8.537662E-4	4.812652E-3	1.398677E+2
1.054384E+3	1.795708E+0	3.493158E-3	3.093374E-3	8.522550E-4	4.797884E-3	1.394469E+2
1.055595E+3	1.738909E+0	3.481436E-3	3.080047E-3	8.511559E-4	4.782359E-3	1.389789E+2
1.056807E+3	1.681870E+0	3.468055E-3	3.065073E-3	8.497821E-4	4.764637E-3	1.384447E+2
1.058018E+3	1.620604E+0	3.454354E-3	3.049480E-3	8.484083E-4	4.746297E-3	1.378978E+2
1.059229E+3	1.587709E+0	3.443222E-3	3.037734E-3	8.475154E-4	4.732765E-3	1.374534E+2
1.060436E+3	1.538155E+0	3.432019E-3	3.025095E-3	8.457981E-4	4.716691E-3	1.370062E+2
1.061643E+3	1.481419E+0	3.418057E-3	3.009639E-3	8.450425E-4	4.699724E-3	1.364488E+2
1.062849E+3	1.434615E+0	3.405587E-3	2.995833E-3	8.431191E-4	4.682071E-3	1.359510E+2
1.064057E+3	1.388877E+0	3.393995E-3	2.981682E-3	8.420887E-4	4.665860E-3	1.354883E+2
1.065263E+3	1.352420E+0	3.383016E-3	2.969661E-3	8.407149E-4	4.651091E-3	1.350500E+2
1.066469E+3	1.297586E+0	3.370219E-3	2.955717E-3	8.394097E-4	4.634536E-3	1.345392E+2
1.067676E+3	1.251042E+0	3.357746E-3	2.941360E-3	8.381046E-4	4.617569E-3	1.340412E+2
1.068883E+3	1.195417E+0	3.343583E-3	2.926179E-3	8.361812E-4	4.598542E-3	1.334758E+2
1.070091E+3	1.169343E+0	3.333029E-3	2.913952E-3	8.349448E-4	4.583842E-3	1.330545E+2
1.071298E+3	1.124468E+0	3.320482E-3	2.900420E-3	8.338458E-4	4.568112E-3	1.325536E+2
1.072505E+3	1.077472E+0	3.307426E-3	2.886819E-3	8.319224E-4	4.550664E-3	1.320325E+2
1.073712E+3	1.039707E+0	3.294462E-3	2.873631E-3	8.308233E-4	4.535278E-3	1.315149E+2
1.074924E+3	1.003724E+0	3.282785E-3	2.860374E-3	8.293809E-4	4.519135E-3	1.310488E+2
1.076136E+3	9.793321E-1	3.272668E-3	2.850482E-3	8.279384E-4	4.506359E-3	1.306449E+2
1.077348E+3	9.303292E-1	3.260354E-3	2.836607E-3	8.262898E-4	4.489186E-3	1.301533E+2
1.078559E+3	8.920060E-1	3.247825E-3	2.823212E-3	8.249846E-4	4.473181E-3	1.296532E+2
1.079771E+3	8.461271E-1	3.234831E-3	2.808511E-3	8.231299E-4	4.454771E-3	1.291345E+2
1.080983E+3	8.188443E-1	3.223870E-3	2.795941E-3	8.223743E-4	4.440690E-3	1.286969E+2
1.082194E+3	7.872148E-1	3.212584E-3	2.785088E-3	8.205884E-4	4.426265E-3	1.282464E+2
1.083406E+3	7.388975E-1	3.199688E-3	2.770457E-3	8.190085E-4	4.408474E-3	1.277316E+2
1.084617E+3	6.983691E-1	3.185606E-3	2.756444E-3	8.172911E-4	4.391026E-3	1.271694E+2
1.085829E+3	6.683439E-1	3.172605E-3	2.742843E-3	8.159860E-4	4.374815E-3	1.266504E+2
1.087039E+3	6.464187E-1	3.162212E-3	2.732470E-3	8.148183E-4	4.362107E-3	1.262355E+2
1.088250E+3	6.074949E-1	3.149451E-3	2.719282E-3	8.124828E-4	4.344247E-3	1.257261E+2
1.089462E+3	5.739993E-1	3.136353E-3	2.706574E-3	8.116585E-4	4.329891E-3	1.252032E+2
1.090673E+3	5.364821E-1	3.123361E-3	2.693797E-3	8.092543E-4	4.312306E-3	1.246846E+2
1.091884E+3	5.093548E-1	3.109967E-3	2.681501E-3	8.087048E-4	4.298911E-3	1.241499E+2
1.093096E+3	4.965262E-1	3.100305E-3	2.671953E-3	8.076744E-4	4.287302E-3	1.237642E+2
1.094307E+3	4.590302E-1	3.088661E-3	2.660345E-3	8.058884E-4	4.272121E-3	1.232994E+2
1.095518E+3	4.253014E-1	3.075358E-3	2.648186E-3	8.043086E-4	4.256804E-3	1.227683E+2
1.096730E+3	4.006621E-1	3.062373E-3	2.636028E-3	8.028660E-4	4.241760E-3	1.222499E+2
1.097941E+3	3.739731E-1	3.050003E-3	2.625106E-3	8.014922E-4	4.228091E-3	1.217561E+2
1.099152E+3	3.586071E-1	3.039388E-3	2.615902E-3	8.001871E-4	4.216276E-3	1.213324E+2
1.100363E+3	3.340950E-1	3.028454E-3	2.606697E-3	7.993628E-4	4.205422E-3	1.208959E+2
1.101574E+3	3.052785E-1	3.014128E-3	2.595981E-3	7.973707E-4	4.190723E-3	1.203240E+2
1.102786E+3	2.824345E-1	3.001879E-3	2.586364E-3	7.963403E-4	4.179045E-3	1.198350E+2
1.103996E+3	2.580568E-1	2.987426E-3	2.576885E-3	7.948978E-4	4.166681E-3	1.192580E+2
1.105207E+3	2.479707E-1	2.977208E-3	2.569192E-3	7.938675E-4	4.156927E-3	1.188502E+2
1.106418E+3	2.326824E-1	2.966325E-3	2.561704E-3	7.927684E-4	4.147241E-3	1.184157E+2
1.107625E+3	2.098526E-1	2.955111E-3	2.555179E-3	7.917381E-4	4.138655E-3	1.179680E+2
1.108833E+3	1.839340E-1	2.942642E-3	2.547348E-3	7.907765E-4	4.128901E-3	1.174703E+2
1.110040E+3	1.624754E-1	2.927628E-3	2.539449E-3	7.894026E-4	4.118254E-3	1.168709E+2
1.111247E+3	1.521277E-1	2.916716E-3	2.534297E-3	7.885783E-4	4.111453E-3	1.164353E+2
1.112455E+3	1.394052E-1	2.907343E-3	2.528114E-3	7.880974E-4	4.104309E-3	1.160611E+2
1.113662E+3	1.156565E-1	2.892137E-3	2.521658E-3	7.867236E-4	4.095105E-3	1.154541E+2
1.114870E+3	1.025594E-1	2.878847E-3	2.515544E-3	7.852811E-4	4.086106E-3	1.149236E+2
1.116078E+3	9.011955E-2	2.866072E-3	2.511079E-3	7.848690E-4	4.080817E-3	1.144136E+2
1.117286E+3	7.929128E-2	2.852564E-3	2.505446E-3	7.841134E-4	4.073673E-3	1.138743E+2
1.118494E+3	7.151641E-2	2.841854E-3	2.501531E-3	7.834265E-4	4.068384E-3	1.134468E+2
1.119701E+3	5.724599E-2	2.830279E-3	2.497753E-3	7.825335E-4	4.062820E-3	1.129847E+2
1.120909E+3	4.665803E-2	2.816932E-3	2.493906E-3	7.821900E-4	4.058286E-3	1.124519E+2
1.122117E+3	3.799258E-2	2.803926E-3	2.490884E-3	7.810910E-4	4.053066E-3	1.119327E+2
1.123326E+3	2.914336E-2	2.794968E-3	2.488068E-3	7.802667E-4	4.048601E-3	1.115751E+2
1.124534E+3	2.326273E-2	2.785169E-3	2.486213E-3	7.804041E-4	4.047021E-3	1.111839E+2
