Temps(s)	sigV(MPa)	Defcapt	Defax	Defrad	Defvol	Deplctcapt(m)
7.432073E+2	7.972235E+1	6.649141E-3	6.445094E-3	6.169883E-4	7.679071E-3	2.654337E+2
7.444173E+2	7.907036E+1	6.636282E-3	6.430806E-3	6.190490E-4	7.668904E-3	2.649204E+2
7.456272E+2	7.844917E+1	6.624264E-3	6.418166E-3	6.220027E-4	7.662171E-3	2.644406E+2
7.468372E+2	7.782978E+1	6.612770E-3	6.405320E-3	6.247503E-4	7.654821E-3	2.639818E+2
7.480471E+2	7.718707E+1	6.600098E-3	6.391926E-3	6.264676E-4	7.644861E-3	2.634759E+2
7.492581E+2	7.655256E+1	6.588332E-3	6.378806E-3	6.290779E-4	7.636962E-3	2.630062E+2
7.504690E+2	7.591787E+1	6.575443E-3	6.365343E-3	6.307952E-4	7.626933E-3	2.624917E+2
7.516790E+2	7.530239E+1	6.563160E-3	6.352429E-3	6.331307E-4	7.618691E-3	2.620013E+2
7.528889E+2	7.467031E+1	6.550934E-3	6.339859E-3	6.363592E-4	7.612578E-3	2.615133E+2
7.540999E+2	7.404976E+1	6.537980E-3	6.325846E-3	6.386260E-4	7.603098E-3	2.609962E+2
7.553098E+2	7.343966E+1	6.526638E-3	6.313413E-3	6.402745E-4	7.593962E-3	2.605434E+2
7.565208E+2	7.282650E+1	6.514541E-3	6.299125E-3	6.437092E-4	7.586543E-3	2.600605E+2
7.577307E+2	7.221713E+1	6.502711E-3	6.285593E-3	6.454264E-4	7.576446E-3	2.595882E+2
7.589407E+2	7.158545E+1	6.490508E-3	6.272336E-3	6.481740E-4	7.568684E-3	2.591011E+2
7.601516E+2	7.098128E+1	6.477354E-3	6.257842E-3	6.503035E-4	7.558449E-3	2.585760E+2
7.613616E+2	7.037176E+1	6.466616E-3	6.245889E-3	6.524329E-4	7.550755E-3	2.581473E+2
7.625716E+2	6.973816E+1	6.454078E-3	6.231532E-3	6.549057E-4	7.541343E-3	2.576468E+2
7.637835E+2	6.912446E+1	6.442056E-3	6.216969E-3	6.567604E-4	7.530490E-3	2.571669E+2
7.649934E+2	6.847177E+1	6.428634E-3	6.202681E-3	6.599202E-4	7.522522E-3	2.566311E+2
7.662044E+2	6.786110E+1	6.417851E-3	6.189287E-3	6.623244E-4	7.513936E-3	2.562006E+2
7.674134E+2	6.722160E+1	6.405143E-3	6.174724E-3	6.644538E-4	7.503631E-3	2.556933E+2
7.686233E+2	6.663959E+1	6.392295E-3	6.160712E-3	6.672015E-4	7.495115E-3	2.551804E+2
7.698343E+2	6.600412E+1	6.381348E-3	6.148279E-3	6.692623E-4	7.486804E-3	2.547434E+2
7.710442E+2	6.540203E+1	6.367311E-3	6.132686E-3	6.718725E-4	7.476431E-3	2.541830E+2
7.722542E+2	6.478418E+1	6.356410E-3	6.120252E-3	6.744140E-4	7.469080E-3	2.537479E+2
7.734632E+2	6.415962E+1	6.344686E-3	6.106651E-3	6.764061E-4	7.459464E-3	2.532799E+2
7.746731E+2	6.354855E+1	6.333435E-3	6.091608E-3	6.786729E-4	7.448954E-3	2.528307E+2
7.758841E+2	6.282687E+1	6.318867E-3	6.075877E-3	6.819014E-4	7.439679E-3	2.522492E+2
7.770940E+2	6.222728E+1	6.306437E-3	6.061315E-3	6.838247E-4	7.428964E-3	2.517530E+2
7.783050E+2	6.178942E+1	6.293655E-3	6.047507E-3	6.865723E-4	7.420652E-3	2.512427E+2
7.795159E+2	6.111763E+1	6.283180E-3	6.035487E-3	6.885644E-4	7.412615E-3	2.508245E+2
7.807268E+2	6.052473E+1	6.270670E-3	6.021336E-3	6.904877E-4	7.402312E-3	2.503251E+2
7.819378E+2	6.002058E+1	6.257605E-3	6.006842E-3	6.934415E-4	7.393725E-3	2.498036E+2
7.831487E+2	5.932219E+1	6.244763E-3	5.993998E-3	6.950214E-4	7.384041E-3	2.492909E+2
7.843587E+2	5.884582E+1	6.234576E-3	5.981977E-3	6.970821E-4	7.376141E-3	2.488843E+2
7.855696E+2	5.832681E+1	6.219028E-3	5.964598E-3	7.004480E-4	7.365494E-3	2.482636E+2
7.867796E+2	5.768720E+1	6.209638E-3	5.954088E-3	7.018218E-4	7.357731E-3	2.478888E+2
7.879915E+2	5.712028E+1	6.197202E-3	5.940761E-3	7.040199E-4	7.348801E-3	2.473923E+2
7.892014E+2	5.657079E+1	6.185630E-3	5.927435E-3	7.066302E-4	7.340695E-3	2.469304E+2
7.904124E+2	5.602803E+1	6.173049E-3	5.914315E-3	7.080727E-4	7.330460E-3	2.464281E+2
7.916214E+2	5.544280E+1	6.159658E-3	5.899409E-3	7.106143E-4	7.320637E-3	2.458935E+2
7.928323E+2	5.489936E+1	6.147184E-3	5.886083E-3	7.129497E-4	7.311983E-3	2.453956E+2
7.940423E+2	5.433468E+1	6.134977E-3	5.872826E-3	7.156974E-4	7.304221E-3	2.449083E+2
7.952532E+2	5.377464E+1	6.122296E-3	5.858744E-3	7.176895E-4	7.294123E-3	2.444020E+2
7.964632E+2	5.328178E+1	6.110748E-3	5.846449E-3	7.199563E-4	7.286361E-3	2.439410E+2
7.976741E+2	5.277413E+1	6.096934E-3	5.832504E-3	7.220857E-4	7.276676E-3	2.433896E+2
7.988841E+2	5.240953E+1	6.085078E-3	5.819110E-3	7.241464E-4	7.267403E-3	2.429163E+2
8.000950E+2	5.189866E+1	6.078186E-3	5.811004E-3	7.253828E-4	7.261769E-3	2.426412E+2
8.013050E+2	5.131616E+1	6.064200E-3	5.795754E-3	7.279931E-4	7.251741E-3	2.420829E+2
8.025159E+2	5.075051E+1	6.051081E-3	5.781329E-3	7.295043E-4	7.240338E-3	2.415591E+2
8.037268E+2	5.016163E+1	6.036391E-3	5.766492E-3	7.314964E-4	7.229485E-3	2.409727E+2
8.049368E+2	4.957580E+1	6.022008E-3	5.751242E-3	7.341066E-4	7.219455E-3	2.403986E+2
8.061468E+2	4.920819E+1	6.007520E-3	5.737228E-3	7.361673E-4	7.209563E-3	2.398202E+2
8.073567E+2	4.882341E+1	6.002818E-3	5.730978E-3	7.376786E-4	7.206335E-3	2.396325E+2
8.085667E+2	4.822093E+1	5.987615E-3	5.715798E-3	7.404262E-4	7.196650E-3	2.390256E+2
8.097776E+2	4.773160E+1	5.975304E-3	5.702265E-3	7.424869E-4	7.187239E-3	2.385341E+2
8.109876E+2	4.724485E+1	5.960899E-3	5.688321E-3	7.445477E-4	7.177417E-3	2.379591E+2
8.121985E+2	4.696494E+1	5.951896E-3	5.677331E-3	7.466771E-4	7.170685E-3	2.375997E+2
8.134095E+2	4.646085E+1	5.942122E-3	5.667921E-3	7.481197E-4	7.164160E-3	2.372095E+2
8.146204E+2	4.592317E+1	5.928518E-3	5.653152E-3	7.499743E-4	7.153100E-3	2.366664E+2
8.158304E+2	4.542293E+1	5.914863E-3	5.640032E-3	7.527220E-4	7.145476E-3	2.361213E+2
8.170413E+2	4.492168E+1	5.900513E-3	5.625882E-3	7.545079E-4	7.134898E-3	2.355485E+2
8.182522E+2	4.450232E+1	5.888777E-3	5.614273E-3	7.558817E-4	7.126036E-3	2.350800E+2
8.194632E+2	4.404817E+1	5.876149E-3	5.601359E-3	7.582172E-4	7.117793E-3	2.345759E+2
8.206731E+2	4.352791E+1	5.862259E-3	5.587482E-3	7.604840E-4	7.108450E-3	2.340214E+2
8.218841E+2	4.335880E+1	5.855852E-3	5.578896E-3	7.623387E-4	7.103573E-3	2.337656E+2
8.230950E+2	4.286665E+1	5.843581E-3	5.568111E-3	7.634377E-4	7.094987E-3	2.332758E+2
8.243059E+2	4.240151E+1	5.826294E-3	5.549908E-3	7.658419E-4	7.081592E-3	2.325857E+2
8.255159E+2	4.197226E+1	5.817709E-3	5.542352E-3	7.668036E-4	7.075959E-3	2.322429E+2
8.267268E+2	4.153145E+1	5.806231E-3	5.529300E-3	7.689330E-4	7.067166E-3	2.317847E+2
8.279368E+2	4.103864E+1	5.792614E-3	5.515630E-3	7.710624E-4	7.057755E-3	2.312411E+2
8.291477E+2	4.060334E+1	5.780571E-3	5.502991E-3	7.729857E-4	7.048963E-3	2.307604E+2
8.303587E+2	4.018502E+1	5.768909E-3	5.490971E-3	7.747717E-4	7.040514E-3	2.302949E+2
8.315686E+2	3.973783E+1	5.755710E-3	5.478194E-3	7.766264E-4	7.031447E-3	2.297679E+2
8.327796E+2	3.937246E+1	5.743403E-3	5.464387E-3	7.789619E-4	7.022311E-3	2.292767E+2
8.339895E+2	3.896051E+1	5.726851E-3	5.450236E-3	7.808852E-4	7.012007E-3	2.286159E+2
8.352014E+2	3.862303E+1	5.717691E-3	5.440276E-3	7.817095E-4	7.003695E-3	2.282502E+2
8.364124E+2	3.825280E+1	5.706318E-3	5.429836E-3	7.835642E-4	6.996964E-3	2.277962E+2
8.376223E+2	3.784958E+1	5.695044E-3	5.416853E-3	7.854875E-4	6.987828E-3	2.273462E+2
8.388323E+2	3.728787E+1	5.680994E-3	5.404969E-3	7.871361E-4	6.979242E-3	2.267853E+2
8.400432E+2	3.695223E+1	5.671156E-3	5.394460E-3	7.883726E-4	6.971205E-3	2.263926E+2
8.412542E+2	3.656204E+1	5.657970E-3	5.382026E-3	7.901585E-4	6.962343E-3	2.258661E+2
8.424641E+2	3.617287E+1	5.645934E-3	5.369593E-3	7.920132E-4	6.953619E-3	2.253857E+2
8.436751E+2	3.579436E+1	5.633328E-3	5.356679E-3	7.931122E-4	6.942904E-3	2.248825E+2
8.448860E+2	3.537024E+1	5.619993E-3	5.344040E-3	7.951730E-4	6.934386E-3	2.243501E+2
8.460960E+2	3.500328E+1	5.607775E-3	5.333531E-3	7.973024E-4	6.928136E-3	2.238624E+2
8.473069E+2	3.463550E+1	5.595642E-3	5.320960E-3	7.982641E-4	6.917488E-3	2.233780E+2
8.485179E+2	3.424502E+1	5.582812E-3	5.308733E-3	8.001875E-4	6.909108E-3	2.228658E+2
8.497288E+2	3.390823E+1	5.570859E-3	5.297399E-3	8.020421E-4	6.901483E-3	2.223887E+2
8.509397E+2	3.350424E+1	5.557905E-3	5.284348E-3	8.025916E-4	6.889531E-3	2.218715E+2
8.521497E+2	3.318055E+1	5.547300E-3	5.273494E-3	8.044462E-4	6.882386E-3	2.214482E+2
8.533606E+2	3.280782E+1	5.533873E-3	5.260923E-3	8.061635E-4	6.873250E-3	2.209122E+2
8.545716E+2	3.245689E+1	5.522722E-3	5.250140E-3	8.074000E-4	6.864940E-3	2.204671E+2
8.557815E+2	3.212279E+1	5.509773E-3	5.237363E-3	8.091860E-4	6.855735E-3	2.199501E+2
8.569934E+2	3.174300E+1	5.497702E-3	5.225548E-3	8.102850E-4	6.846118E-3	2.194683E+2
8.582034E+2	3.141857E+1	5.485916E-3	5.214213E-3	8.124831E-4	6.839180E-3	2.189978E+2
8.594134E+2	3.105010E+1	5.472155E-3	5.201505E-3	8.142003E-4	6.829906E-3	2.184484E+2
8.606243E+2	3.072765E+1	5.461645E-3	5.190789E-3	8.151620E-4	6.821113E-3	2.180289E+2
8.618352E+2	3.036528E+1	5.449412E-3	5.178150E-3	8.170166E-4	6.812183E-3	2.175405E+2
8.630462E+2	3.001350E+1	5.437124E-3	5.165786E-3	8.184592E-4	6.802704E-3	2.170500E+2
8.642571E+2	2.967286E+1	5.424606E-3	5.153421E-3	8.201078E-4	6.793637E-3	2.165503E+2
8.654680E+2	2.929285E+1	5.411600E-3	5.140920E-3	8.216877E-4	6.784295E-3	2.160311E+2
8.666790E+2	2.897389E+1	5.399776E-3	5.128968E-3	8.229928E-4	6.774953E-3	2.155591E+2
8.678899E+2	2.860543E+1	5.385675E-3	5.116397E-3	8.251222E-4	6.766642E-3	2.149962E+2
8.690999E+2	2.831223E+1	5.375470E-3	5.105750E-3	8.258091E-4	6.757368E-3	2.145888E+2
8.703118E+2	2.796233E+1	5.362160E-3	5.093179E-3	8.272516E-4	6.747682E-3	2.140574E+2
8.715218E+2	2.767616E+1	5.350742E-3	5.082189E-3	8.291064E-4	6.740402E-3	2.136016E+2
8.727327E+2	2.733157E+1	5.337760E-3	5.069550E-3	8.302054E-4	6.729960E-3	2.130834E+2
8.739436E+2	2.704835E+1	5.325748E-3	5.058490E-3	8.316479E-4	6.721786E-3	2.126039E+2
8.751546E+2	2.672309E+1	5.313976E-3	5.046812E-3	8.326782E-4	6.712169E-3	2.121339E+2
8.763665E+2	2.643421E+1	5.301920E-3	5.035410E-3	8.343268E-4	6.704063E-3	2.116527E+2
8.775764E+2	2.611880E+1	5.290506E-3	5.023664E-3	8.352885E-4	6.694241E-3	2.111970E+2
8.787874E+2	2.580178E+1	5.278125E-3	5.011163E-3	8.369371E-4	6.685037E-3	2.107028E+2
8.799964E+2	2.549021E+1	5.266017E-3	4.999279E-3	8.385170E-4	6.676313E-3	2.102194E+2
8.812073E+2	2.515473E+1	5.253027E-3	4.986708E-3	8.396161E-4	6.665940E-3	2.097009E+2
8.824182E+2	2.485279E+1	5.240706E-3	4.974412E-3	8.411959E-4	6.656804E-3	2.092090E+2
8.836282E+2	2.452728E+1	5.228534E-3	4.961155E-3	8.421576E-4	6.645471E-3	2.087231E+2
8.848382E+2	2.424223E+1	5.216177E-3	4.948996E-3	8.443557E-4	6.637708E-3	2.082298E+2
8.860481E+2	2.391306E+1	5.203885E-3	4.937250E-3	8.455922E-4	6.628435E-3	2.077391E+2
8.872581E+2	2.362988E+1	5.191736E-3	4.924954E-3	8.468973E-4	6.618749E-3	2.072541E+2
8.884680E+2	2.331104E+1	5.178589E-3	4.912384E-3	8.480650E-4	6.608514E-3	2.067293E+2
8.896790E+2	2.305120E+1	5.167796E-3	4.900638E-3	8.484772E-4	6.597592E-3	2.062984E+2
8.908889E+2	2.273569E+1	5.154612E-3	4.888136E-3	8.504692E-4	6.589074E-3	2.057721E+2
8.920989E+2	2.246596E+1	5.143306E-3	4.876115E-3	8.514996E-4	6.579114E-3	2.053208E+2
8.933098E+2	2.215004E+1	5.130312E-3	4.863132E-3	8.522552E-4	6.567643E-3	2.048020E+2
8.945198E+2	2.189604E+1	5.119145E-3	4.852211E-3	8.539038E-4	6.560018E-3	2.043563E+2
8.957307E+2	2.157753E+1	5.105548E-3	4.838747E-3	8.545907E-4	6.547928E-3	2.038135E+2
8.969407E+2	2.131536E+1	5.093252E-3	4.827413E-3	8.558958E-4	6.539204E-3	2.033226E+2
8.981507E+2	2.101986E+1	5.080603E-3	4.814155E-3	8.572696E-4	6.528695E-3	2.028177E+2
8.993616E+2	2.078099E+1	5.069751E-3	4.803371E-3	8.585061E-4	6.520383E-3	2.023845E+2
9.005716E+2	2.048752E+1	5.056488E-3	4.790320E-3	8.593990E-4	6.509118E-3	2.018550E+2
9.017835E+2	2.023187E+1	5.045325E-3	4.778367E-3	8.608415E-4	6.500051E-3	2.014094E+2
9.029934E+2	1.994450E+1	5.032511E-3	4.765591E-3	8.618719E-4	6.489334E-3	2.008978E+2
9.042044E+2	1.967329E+1	5.020448E-3	4.752265E-3	8.624215E-4	6.477108E-3	2.004163E+2
9.054134E+2	1.939879E+1	5.006736E-3	4.740038E-3	8.635205E-4	6.467079E-3	1.998689E+2
9.066243E+2	1.915637E+1	4.996101E-3	4.729115E-3	8.655812E-4	6.460278E-3	1.994443E+2
